chr_contig_1507	-
chr_contig_1198	-
chr_contig_1130	-
chr_contig_1350	-
chr_contig_1254	-
chr_contig_1411	-
chr_contig_1410	-
chr_contig_1196	-
chr_contig_35	-
chr_contig_36	-
chr_contig_1398	-
chr_contig_213	-
chr_contig_1170	-
chr_contig_1226	-
chr_contig_79	-
chr_contig_3086	-
chr_contig_1139	-
chr_contig_3129	-
chr_contig_84	-
chr_contig_1463	-
chr_contig_3095	-
chr_contig_128	+
chr_contig_64	+
chr_contig_253	-
chr_contig_1487	+
chr_contig_20	-
chr_contig_1585	-
chr_contig_1240	-
chr_contig_0	-
chr_contig_1581	-
chr_contig_3144	-
chr_contig_3747	+
chr_contig_3309	+
chr_contig_3207	+
chr_contig_1176	+
chr_contig_1351	+
chr_contig_2047	+
chr_contig_2281	+
chr_contig_1306	+
chr_contig_3614	+
chr_contig_2280	+
chr_contig_1321	+
chr_contig_3122	+
chr_contig_3186	+
chr_contig_1300	+
chr_contig_2016	+
chr_contig_2015	+
chr_contig_3910	+
chr_contig_3911	+
chr_contig_778	+
chr_contig_2746	+
chr_contig_1893	-
chr_contig_1892	+
chr_contig_1844	+
chr_contig_403	+
chr_contig_3630	+
chr_contig_1765	+
chr_contig_1465	+
chr_contig_1418	+
chr_contig_2857	+
chr_contig_2859	+
chr_contig_2858	+
chr_contig_4041	+
chr_contig_2584	+
chr_contig_691	-
chr_contig_2583	+
chr_contig_692	+
chr_contig_2586	+
chr_contig_2585	+
chr_contig_3402	+
chr_contig_3227	+
chr_contig_2108	+
chr_contig_2107	+
chr_contig_1923	+
chr_contig_1589	+
chr_contig_1456	+
chr_contig_1235	+
chr_contig_3136	+
chr_contig_1155	+
chr_contig_3293	+
chr_contig_3182	+
chr_contig_1794	+
chr_contig_1096	+
chr_contig_3107	+
chr_contig_2455	+
chr_contig_271	+
chr_contig_272	+
chr_contig_3130	+
chr_contig_1361	+
chr_contig_1163	+
chr_contig_1271	+
chr_contig_3139	+
chr_contig_1141	+
chr_contig_277	+
chr_contig_4430	+
chr_contig_1100	-
chr_contig_1896	-
chr_contig_3782	-
chr_contig_777	-
chr_contig_1043	-
chr_contig_3763	+
chr_contig_77	+
chr_contig_4388	+
chr_contig_3743	+
chr_contig_3436	+
chr_contig_1296	+
chr_contig_1071	+
chr_contig_1272	+
chr_contig_1526	+
chr_contig_1904	+
chr_contig_3237	+
chr_contig_3163	+
chr_contig_1641	-
chr_contig_1640	+
chr_contig_3444	+
chr_contig_1863	+
chr_contig_2456	+
chr_contig_4341	+
chr_contig_1052	+
chr_contig_3501	+
chr_contig_2288	+
chr_contig_2257	+
chr_contig_3799	+
chr_contig_1778	+
chr_contig_1330	+
chr_contig_2089	+
chr_contig_163	+
chr_contig_164	+
chr_contig_1823	+
chr_contig_1037	+
chr_contig_1457	+
chr_contig_3160	+
chr_contig_1611	+
chr_contig_1558	+
chr_contig_1817	+
chr_contig_1197	+
chr_contig_1666	+
chr_contig_334	-
chr_contig_3536	+
chr_contig_1590	+
chr_contig_3297	+
chr_contig_3143	+
chr_contig_1913	+
chr_contig_3719	+
chr_contig_1525	+
chr_contig_1825	+
chr_contig_390	-
chr_contig_479	+
chr_contig_3300	+
chr_contig_1600	+
chr_contig_3979	+
chr_contig_4010	+
chr_contig_3898	+
chr_contig_1327	+
chr_contig_1220	+
chr_contig_123	+
chr_contig_3724	+
chr_contig_1662	+
chr_contig_2286	+
chr_contig_1891	+
chr_contig_1399	+
chr_contig_1095	+
chr_contig_1118	+
chr_contig_1261	+
chr_contig_1776	+
chr_contig_98	+
chr_contig_4456	+
chr_contig_2468	+
chr_contig_428	+
chr_contig_2385	+
chr_contig_66	+
chr_contig_942	+
chr_contig_2802	+
chr_contig_2773	+
chr_contig_3868	+
chr_contig_355	+
chr_contig_4424	+
chr_contig_1715	+
chr_contig_1490	+
chr_contig_3246	-
chr_contig_3742	+
chr_contig_2414	+
chr_contig_1559	+
chr_contig_1224	+
chr_contig_1279	+
chr_contig_1339	+
chr_contig_1039	+
chr_contig_4214	+
chr_contig_31	+
chr_contig_3494	+
chr_contig_2195	+
chr_contig_2827	+
chr_contig_2582	+
chr_contig_2581	+
chr_contig_4342	+
chr_contig_1531	+
chr_contig_2587	+
chr_contig_2064	+
chr_contig_1543	+
chr_contig_294	+
chr_contig_2022	+
chr_contig_4026	+
chr_contig_1782	+
chr_contig_3813	+
chr_contig_2533	+
chr_contig_3859	+
chr_contig_1068	-
chr_contig_1638	+
chr_contig_1541	+
chr_contig_3200	+
chr_contig_1229	+
chr_contig_167	+
chr_contig_1086	+
chr_contig_1963	+
chr_contig_1781	+
chr_contig_2123	+
chr_contig_1815	+
chr_contig_2893	+
chr_contig_2894	+
chr_contig_1346	+
chr_contig_51	+
chr_contig_2062	+
chr_contig_2069	+
chr_contig_1257	+
chr_contig_2104	+
chr_contig_1455	+
chr_contig_1713	+
chr_contig_1237	+
chr_contig_1735	+
chr_contig_3425	+
chr_contig_2118	+
chr_contig_1575	+
chr_contig_4339	+
chr_contig_1723	+
chr_contig_3956	+
chr_contig_1320	+
chr_contig_1755	+
chr_contig_365	+
chr_contig_423	+
chr_contig_1866	+
chr_contig_2368	+
chr_contig_4599	+
chr_contig_2050	+
chr_contig_2814	+
chr_contig_3317	+
chr_contig_1078	+
chr_contig_3414	+
chr_contig_1631	+
chr_contig_2008	+
chr_contig_226	+
chr_contig_4356	+
chr_contig_1233	+
chr_contig_4155	+
chr_contig_910	-
chr_contig_1690	+
chr_contig_1194	+
chr_contig_1371	+
chr_contig_4018	+
chr_contig_4019	+
chr_contig_1406	+
chr_contig_3257	-
chr_contig_1814	+
chr_contig_1462	+
chr_contig_3691	+
chr_contig_4561	+
chr_contig_25	+
chr_contig_3411	+
chr_contig_3193	+
chr_contig_56	+
chr_contig_3295	+
chr_contig_4507	+
chr_contig_3856	+
chr_contig_3149	+
chr_contig_3533	+
chr_contig_2204	+
chr_contig_4368	+
chr_contig_3046	+
chr_contig_4076	+
chr_contig_678	+
chr_contig_4243	+
chr_contig_2384	+
chr_contig_2974	+
chr_contig_3851	+
chr_contig_3889	+
chr_contig_2010	+
chr_contig_3410	+
chr_contig_1383	+
chr_contig_3282	+
chr_contig_3155	+
chr_contig_1169	+
chr_contig_1067	+
chr_contig_3215	+
chr_contig_3311	+
chr_contig_3249	+
chr_contig_2398	+
chr_contig_3564	+
chr_contig_1881	+
chr_contig_242	+
chr_contig_1083	+
chr_contig_190	+
chr_contig_107	+
chr_contig_1974	+
chr_contig_3752	+
chr_contig_2090	-
chr_contig_3472	+
chr_contig_3987	+
chr_contig_1461	+
chr_contig_1401	+
chr_contig_1975	+
chr_contig_1639	+
chr_contig_1773	+
chr_contig_48	+
chr_contig_4338	-
chr_contig_3354	+
chr_contig_1028	+
chr_contig_1871	+
chr_contig_1651	+
chr_contig_1700	+
chr_contig_1919	+
chr_contig_3426	+
